hit_rate,player,defender
1.0,leandro barbosa,"Adams, Steven"
1.0,draymond green,"Leonard, Kawhi"
1.0,paul millsap,"Chalmers, Mario"
1.0,paul millsap,"Haslem, Udonis"
1.0,kyle korver,"Carter, Vince"
1.0,kyle korver,"Stephenson, Lance"
1.0,pero antic,"Dudley, Jared"
1.0,demarre carroll,"Aldridge, LaMarcus"
1.0,marcin gortat,"Fournier, Evan"
1.0,john wall,"Moore, E'Twaun"
1.0,john wall,"Livingston, Shaun"
1.0,dante cunningham,"Gallinari, Danilo"
1.0,brian roberts,Nene
1.0,brian roberts,"Bazemore, Kent"
1.0,cody zeller,"Dunleavy, Mike"
1.0,cody zeller,"Gortat, Marcin"
1.0,cody zeller,"Green, Willie"
1.0,gerald henderson,"Chandler, Wilson"
1.0,lance stephenson,"Nowitzki, Dirk"
1.0,marvin williams,"Williams, Deron"
1.0,trey burke,"Mayo, O.J."
1.0,trey burke,"Fournier, Evan"
1.0,robert sacre,"Allen, Lavoy"
1.0,stephen curry,"Novak, Steve"
1.0,andrew bogut,"Gasol, Pau"
1.0,kyle korver,"Payton, Elfrid"
1.0,jeff teague,"Dedmon, Dewayne"
1.0,kris humphries,"Antetokounmpo, Giannis"
1.0,rasual butler,"Lin, Jeremy"
1.0,omer asik,"Irving, Kyrie"
1.0,luke babbitt,"Watson, CJ"
1.0,cody zeller,"Green, Danny"
1.0,gerald henderson,"Aminu, Al-Farouq"
1.0,kemba walker,"Parker, Tony"
1.0,michael kidd-gilchrist,"Hibbert, Roy"
1.0,marvin williams,"Harris, Gary"
1.0,jeremy lin,"Bogdanovic, Bojan"
1.0,jeremy lin,"Dieng, Gorgui"
1.0,jordan hill,"Wolters, Nate"
1.0,andre iguodala,"Smith, J.R."
1.0,al horford,"Ginobili, Manu"
1.0,pero antic,"Lopez, Brook"
1.0,garrett temple,"Ridnour, Luke"
1.0,rasual butler,"Ingles, Joe"
1.0,john wall,"Chalmers, Mario"
1.0,jrue holiday,"Canaan, Isaiah"
1.0,dante cunningham,"Rivers, Austin"
1.0,terrence ross,"Dorsey, Joey"
1.0,terrence ross,"Ellis, Monta"
1.0,gary neal,"Roberson, Andre"
1.0,michael kidd-gilchrist,"Parker, Tony"
1.0,marvin williams,"Mirotic, Nikola"
1.0,trevor booker,"Smith, Greg"
1.0,enes kanter,"Williams, Marvin"
1.0,jon ingles,"Hawes, Spencer"
1.0,jeremy lin,"Hardaway Jr., Tim"
1.0,kobe bryant,"Hibbert, Roy"
1.0,wesley johnson,"Hardaway Jr., Tim"
1.0,wesley johnson,"Rose, Derrick"
1.0,marreese speights,"Leuer, Jon"
1.0,andrew bogut,"Miles, CJ"
1.0,dennis schroder,"Middleton, Khris"
1.0,kent bazemore,"Henson, John"
1.0,kent bazemore,"Gobert, Rudy"
1.0,kris humphries,"Robinson, Thomas"
1.0,paul pierce,"Chalmers, Mario"
1.0,ryan anderson,"Miller, Andre"
1.0,anthony davis,"Korver, Kyle"
1.0,kyle lowry,"Jackson, Reggie"
1.0,brian roberts,"Calderon, Jose"
1.0,bismack biyombo,"Valanciunas, Jonas"
1.0,lance stephenson,"Nurkic, Jusuf"
1.0,trey burke,"Iguodala, Andre"
